Country,Number of Cases
United Kingdom,"201,282"
USA,"39,464"
India,"16,457"
Denmark,"14,997"
Germany,"6,733"
France,"5,753"
Italy,"5,117"
Spain,"4,820"
Sweden,"4,757"
Netherlands,"4,536"
Canada,"4,121"
Portugal,"3,797"
Belgium,"3,459"
Ireland,"3,298"
Australia,"2,281"
Singapore,"2,116"
Switzerland,"2,111"
Mexico,"2,079"
South Africa,"2,019"
Israel,"1,801"
Russia,"1,594"
Austria,"1,360"
Indonesia,"1,331"
Japan,"1,316"
Finland,"1,200"
Luxembourg,780
Turkey,776
Norway,764
South Korea,488
Kenya,478
Czech Republic,409
Croatia,372
Poland,319
Bangladesh,255
Botswana,239
Slovenia,234
Democratic Republic of the Congo,228
China,217
Lithuania,209
Thailand,188
Qatar,180
Slovakia,158
Nepal,134
Uganda,134
Brazil,129
Cambodia,125
Bulgaria,122
Kuwait,119
Bahrain,116
Vietnam,113
Rwanda,98
Romania,95
New Zealand,94
Malaysia,88
Zambia,82
Gambia,80
Sri Lanka,66
Malta,63
Aruba,54
Monaco,34
Uzbekistan,33
Curacao,32
Reunion,32
Pakistan,28
Lebanon,28
Chile,28
Bosnia and Herzegovina,28
Senegal,28
Angola,27
Latvia,22
Sint Maarten,22
Crimea,21
Georgia,19
Ecuador,18
Ghana,17
Greece,17
Malawi,16
Namibia,16
Nigeria,15
Philippines,13
Costa Rica,13
Moldova,11
Iran,11
Albania,11
French Guiana,10
Oman,8
Maldives,7
North Macedonia,7
Guadeloupe,6
Republic of the Congo,6
Paraguay,6
Algeria,6
Barbados,6
Bonaire,5
Serbia,5
Mauritius,5
Jordan,5
Myanmar,5
South Sudan,4
Taiwan,3
Ukraine,3
Burundi,3
Kosovo,2
Peru,2
Morocco,2
Iraq,2
United Arab Emirates,2
Martinique,2
Anguilla,1
Argentina,1
kuwait,1
Republic of Congo,1
Dominican Republic,1
Tunisia,1
Azerbaijan,1
Colombia,1
Guam,1
